Orden;Clase de orden;Ubicac.técnica;Fe.inic.extrema;Texto breve;Status usuario;Status sistema;Cl.actividad PM;Cst.tot.reales;Ce.emplazam.;Fe.inicio real;Fecha fin real;Plan mant.prev.;Pos.mantenim.;;
10033667;PM02;DAL-QP-ENVA;18/10/2021;Inspección a bombas ENVA;ESPR;LIB. KKMP NLIQ PREC;3;0,00;CEGD;;;150497;2452;;
10033670;PM02;DAL-QP-PPRE;18/10/2021;Inspección a bombas PPRE;ESPR;LIB. KKMP NLIQ PREC;3;0,00;CEGD;;;150496;2451;;
10033720;PM02;DAL-LD-STER-NV4110A6;18/10/2021;Mantenimiento válvula reguladora (V6);ESPR;LIB. KKMP NLIQ PREC;1;0,00;CEGD;;;150456;2409;;
10033779;PM01;COL-SV-SREF-K9400B;18/10/2021;Reemplazar sello mecanico de compresor;EJEC CREA;LIB. MACO MOVM NLIQ PREC;1;3.074,05;CEGS;;;0;0;;
10033781;PM01;PAR-MS-EMPA-FL1310A;18/10/2021;RODAMIENTOS TRABADOS DEBOBINADOR;EJEC;CTEC NOTI MACO MOVM NLIQ PREC;1;528,85;CEPF;15/10/2021;15/10/2021;0;0;;
10033808;PM01;COL-SV-SREF-PM9420A;18/10/2021;No arranca motor no funciona;EJEC CREA;LIB. MACO MOVM NLIQ PREC;1;0,02;CEGS;;;0;0;;
10033783;PM01;COL-P1-EDIL-M1200;17/10/2021;Completar nivel de aceite Frauth;CREA;LIB. MACO MOVM NLIQ PREC;1;0,15;CEGS;;;0;0;;
10033810;PM01;COL-PC-FLEX-FL3110A;17/10/2021;Reemplazar correas de fabrima A;EJEC CREA;LIB. MACO MOVM NLIQ PREC;1;189,83;CEGS;;;0;0;;
10033081;PM01;COL-P1-SECA-BL1400;16/10/2021;FABRICAR VENTILADOR DE ENTRADA SECADORA;ESPS CREA;LIB. KKMP NLIQ PREC;4;0,00;CEGS;;;0;0;;
10033082;PM01;COL-P1-SECA-BL1420;16/10/2021;FABRICAR VENTILADOR DE SALIDA NORTE;ESPS CREA;LIB. KKMP NLIQ PREC;1;0,00;CEGS;;;0;0;;
10024151;PM01;COL-P1-SECA;15/10/2021;FABRICAR TERMOSELLADORAS;EJEC CREA;LIB. NOTP FMAT MOVM NLIQ PREC;1;890,03;CEGS;26/07/2021;;0;0;;
10027542;PM01;COL-AX-AACO-AA8010;15/10/2021;Reparar A/acond. Compacto 10TON MQ;EMAT CREA;LIB. NOTI EDET MACO MOVM NLIQ PREC;1;2.197,02;CEGS;03/09/2021;03/09/2021;0;0;;
10029045;PM01;COL-SV-SREF-KM9400B;15/10/2021;No arranca problemas del BREAKER;EJEC EMAT CREA;LIB. NOTP EDET MACO MOVM NLIQ PREC;1;79,72;CEGS;06/09/2020;;0;0;;
10030248;PM01;COL-AX-EDIF-ED8004;15/10/2021;REPARAR PORTON DE ACCESO A CASULCA;EMAT CREA;LIB. MACO MOVM NLIQ PREC;1;0,00;CEGS;;;0;0;;
10030256;PM01;COL-SV-ELEC-GM9601;15/10/2021;MTTO MOTOR 3512 CAT SOLPED 3000041381;PROG EMAT CREA;LIB. KKMP NLIQ PREC;1;0,00;CEGS;;;0;0;;
10030386;PM01;COL-SV-STAP-PM9520A;15/10/2021;REBOBINADO MOTOR 3F 15HP 1760RPM 440/17A;ESPS CREA;LIB. KKMP NLIQ PREC;1;0,00;CEGS;;;0;0;;
10030388;PM01;COL-SV-STAP-PM9520B;15/10/2021;REBOBINADO MOTOR 3F 25HP 3525RPM 440/29A;ESPS CREA;LIB. NOTP FMAT MOVM NLIQ PREC;1;259,29;CEGS;18/11/2020;;0;0;;
